[1423879781695, 1423879781909, 1423879781943, 1423879784300, 1423879784300, 1423879784333]
[1423879794886, 1423879795120, 1423879795161, 1423879797515, 1423879797515, 1423879797548]
[1423879800351, 1423879800569, 1423879800549, 1423879802398, 1423879802398, 1423879802431]
[1423879805146, 1423879805368, 1423879805349, 1423879807818, 1423879807818, 1423879807851]
[1423879809687, 1423879809899, 1423879809877, 1423879811571, 1423879811571, 1423879811606]
[1423879813315, 1423879813531, 1423879813506, 1423879816304, 1423879816304, 1423879816337]
[1423879818431, 1423879818663, 1423879818640, 1423879819964, 1423879819964, 1423879819996]
[1423879821806, 1423879822038, 1423879822016, 1423879823078, 1423879823078, 1423879823110]
[1423879824996, 1423879825216, 1423879825198, 1423879826901, 1423879826901, 1423879826937]
[1423879828900, 1423879829127, 1423879829102, 1423879831332, 1423879831332, 1423879831364]
[1423879833264, 1423879833501, 1423879833477, 1423879834699, 1423879834699, 1423879834732]
[1423879836494, 1423879836713, 1423879836690, 1423879838513, 1423879838513, 1423879838549]
[1423879840613, 1423879840828, 1423879840803, 1423879841650, 1423879841650, 1423879841684]
[1423879843588, 1423879843813, 1423879843789, 1423879845443, 1423879845443, 1423879845476]
[1423879847405, 1423879847621, 1423879847597, 1423879851286, 1423879851286, 1423879851327]
[1423879853142, 1423879853367, 1423879853346, 1423879855097, 1423879855097, 1423879855129]
[1423879857656, 1423879857886, 1423879857866, 1423879860453, 1423879860453, 1423879860486]
[1423879863143, 1423879863369, 1423879863345, 1423879864291, 1423879864291, 1423879864323]
[1423879867063, 1423879867282, 1423879867259, 1423879869554, 1423879869554, 1423879869589]
[1423879872972, 1423879873204, 1423879873179, 1423879876904, 1423879876904, 1423879876937]
[1423879878842, 1423879879062, 1423879879038, 1423879880859, 1423879880859, 1423879880892]
[1423879883328, 1423879883538, 1423879883513, 1423879885146, 1423879885146, 1423879885179]
[1423879889194, 1423879889411, 1423879889390, 1423879890799, 1423879890799, 1423879890832]
[1423879894425, 1423879894637, 1423879894612, 1423879896230, 1423879896230, 1423879896263]
[1423879898369, 1423879898602, 1423879898585, 1423879900687, 1423879900687, 1423879900722]
[1423879903021, 1423879903245, 1423879903218, 1423879904945, 1423879904945, 1423879904981]
[1423879906876, 1423879907111, 1423879907084, 1423879908707, 1423879908707, 1423879908740]
[1423879910714, 1423879910942, 1423879910916, 1423879913126, 1423879913126, 1423879913158]
[1423879915219, 1423879915445, 1423879915434, 1423879917911, 1423879917911, 1423879917948]
[1423879920713, 1423879920933, 1423879920924, 1423879923729, 1423879923729, 1423879923762]
[1423879925727, 1423879925952, 1423879925938, 1423879926887, 1423879926887, 1423879926920]
[1423879928785, 1423879928999, 1423879928975, 1423879930817, 1423879930817, 1423879930850]
[1423879932884, 1423879933108, 1423879933159, 1423879934893, 1423879934893, 1423879934928]
[1423879937142, 1423879937378, 1423879937361, 1423879938720, 1423879938720, 1423879938752]
[1423879940773, 1423879940994, 1423879940972, 1423879942744, 1423879942744, 1423879942787]
